tconst,primaryTitle,startYear,genres,averageRating,numVotes
"tt0040053","The Ed Sullivan Show","1948","Music,Talk-Show","7.9","1710"
"tt0041038","The Lone Ranger","1949","Western","7.7","3209"
"tt0042111","The George Burns and Gracie Allen Show","1950","Comedy","8.6","1660"
"tt0042114","The Honeymooners","1955","Comedy,Family","8.6","6762"
"tt0042116","The Jack Benny Program","1950","Comedy","8.6","1799"
"tt0042168","What's My Line?","1950","Family,Game-Show","8.6","1897"
"tt0043194","Dragnet","1951","Crime,Drama,Mystery","7.5","2588"
"tt0043208","I Love Lucy","1951","Comedy","8.5","30609"
"tt0043224","The Red Skelton Hour","1951","Comedy","8.1","1510"
"tt0044229","The Abbott and Costello Show","1952","Comedy,Family,Mystery","8.1","1479"
"tt0044230","The Adventures of Ozzie and Harriet","1952","Comedy,Drama,Family","7.4","1792"
"tt0044231","Adventures of Superman","1952","Action,Adventure,Crime","7.7","4930"
"tt0044259","Death Valley Days","1952","Western","7.5","1248"
"tt0044265","Guiding Light","1952","Drama,Romance","6.6","2048"
"tt0044298","Today","1952","News,Talk-Show","4.6","2656"
"tt0045410","The Danny Thomas Show","1953","Comedy,Family","7.1","1399"
"tt0046593","The Magical World of Disney","1954","Adventure,Drama,Family","8.4","2541"
"tt0046600","Father Knows Best","1954","Comedy,Family","7.4","2902"
"tt0046617","Lassie","1954","Adventure,Drama,Family","6.6","4238"
"tt0046642","Sherlock Holmes","1954","Crime,Drama,Mystery","7.5","1246"
"tt0047708","Alfred Hitchcock Presents","1955","Crime,Drama,Mystery","8.5","20451"
"tt0047718","Captain Kangaroo","1955","Family","8.1","1703"
"tt0047720","Cheyenne","1955","Western","8.0","2270"
"tt0047736","Gunsmoke","1955","Western","8.1","9942"
"tt0047739","Highway Patrol","1955","Action,Crime,Drama","7.7","1711"
"tt0047750","The Life and Legend of Wyatt Earp","1955","Western","7.6","1254"
"tt0047763","The Phil Silvers Show","1955","Comedy,Family","8.4","1867"
"tt0048845","As the World Turns","1956","Drama,Romance","6.3","2472"
"tt0050022","The Gumby Show","1956","Adventure,Animation,Comedy","7.0","1685"
"tt0050025","Have Gun - Will Travel","1957","Western","8.4","3744"
"tt0050032","Leave It to Beaver","1957","Comedy,Family","7.6","10349"
"tt0050033","The Lucy-Desi Comedy Hour","1957","Comedy,Family","8.4","1380"
"tt0050037","Maverick","1957","Western","8.0","4056"
"tt0050051","Perry Mason","1957","Crime,Drama,Mystery","8.3","13144"
"tt0050053","The Real McCoys","1957","Comedy,Family","7.6","1432"
"tt0050066","Tales of Wells Fargo","1957","Western","7.9","1497"
"tt0050073","Wagon Train","1957","Western","7.6","4171"
"tt0050079","Zorro","1957","Adventure,Family,Western","8.2","4885"
"tt0051247","77 Sunset Strip","1958","Action,Crime,Drama","7.7","1789"
"tt0051267","The Donna Reed Show","1958","Comedy,Family","7.4","2093"
"tt0051283","The Huckleberry Hound Show","1958","Animation,Comedy,Family","6.6","4186"
"tt0051290","Lawman","1958","Western","8.1","1124"
"tt0051297","Naked City","1958","Crime,Drama,Thriller","8.2","1551"
"tt0051301","Peter Gunn","1958","Action,Crime,Drama","8.0","1879"
"tt0051308","The Rifleman","1958","Family,Western","8.3","5737"
"tt0051311","Sea Hunt","1958","Action,Adventure","7.7","1547"
"tt0051327","Wanted: Dead or Alive","1958","Western","8.0","3105"
"tt0052442","One Step Beyond","1959","Drama,Fantasy,Horror","7.8","2098"
"tt0052445","Bat Masterson","1958","Western","7.3","1351"
"tt0052451","Bonanza","1959","Western","7.3","12301"
"tt0052461","Dennis the Menace","1959","Comedy,Family","7.0","2847"
"tt0052481","Laramie","1959","Western","7.7","1722"
"tt0052490","The Many Loves of Dobie Gillis","1959","Comedy,Family","7.7","2250"
"tt0052504","Rawhide","1959","Western","7.9","5088"
"tt0052507","The Bullwinkle Show","1959","Action,Adventure,Animation","7.8","5070"
"tt0052520","The Twilight Zone","1959","Drama,Fantasy,Horror","9.0","106852"
"tt0052522","The Untouchables","1959","Action,Crime,Drama","8.0","3362"
"tt0053479","The Andy Griffith Show","1960","Comedy,Family","8.4","18652"
"tt0053488","The Bugs Bunny Show","1960","Animation,Comedy","8.6","37582"
"tt0053494","Coronation Street","1960","Crime,Drama,Romance","5.6","6513"
"tt0053496","Danger Man","1960","Action,Adventure,Crime","7.9","1545"
"tt0053502","The Flintstones","1960","Adventure,Animation,Comedy","7.5","43996"
"tt0053525","My Three Sons","1960","Comedy,Family","7.1","4974"
"tt0053534","Route 66","1960","Adventure,Crime,Drama","7.7","2162"
"tt0053546","Thriller","1960","Crime,Drama,Horror","8.2","1810"
"tt0054518","The Avengers","1961","Action,Comedy,Crime","8.3","9658"
"tt0054528","Car 54, Where Are You?","1961","Comedy","7.7","2074"
"tt0054533","The Dick Van Dyke Show","1961","Comedy,Family","8.5","13000"
"tt0054535","Dr. Kildare","1961","Drama","7.0","1110"
"tt0054545","Hazel","1961","Comedy","7.2","2335"
"tt0054557","Mister Ed","1961","Comedy,Family,Fantasy","6.9","5081"
"tt0054572","Top Cat","1961","Animation,Comedy,Crime","7.1","8609"
"tt0055657","The Alfred Hitchcock Hour","1962","Crime,Drama,Horror","8.5","5743"
"tt0055662","The Beverly Hillbillies","1962","Comedy,Family","7.3","12158"
"tt0055666","Combat!","1962","Action,Drama,War","8.4","3493"
"tt0055683","The Jetsons","1962","Animation,Comedy,Family","7.0","26025"
"tt0055686","The Lucy Show","1962","Comedy","7.2","3477"
"tt0055689","McHale's Navy","1962","Comedy,War","7.4","3574"
"tt0055701","The Saint","1962","Action,Crime,Drama","7.5","6754"
"tt0055708","The Tonight Show Starring Johnny Carson","1962","Comedy,Talk-Show","8.5","4567"
